vlookup server,vlookup sw,Index,Facility,Card,Cable Length,Dell P/N,Cable Type,Cable Color,Server Transceiver,Switch Transceiver,Row,Rack,Node,Sled,Interface,Row,Rack,Switch,Port,Label,TSS Top,TSS Bottom,,,U Height,Device Position,Sled number,CMSH Switchport config commands - server hostname column must be populated,"CMSH rackview config commands - Server Hostname, U height and Device Position columns must be populated"
2U20,2U22,64,TSS,iSCSI A1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPA,A1,B5,2,U22,8,"B5 R2 U20 iSCSI A1
B5 R2 SW U22 P8",B5 R2 U20 iSCSI A1,B5 R2 SW U22 P8,,,,,,,
2U20,2U22,65,TSS,iSCSI B0,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPB,B0,B5,2,U22,9,"B5 R2 U20 iSCSI B0
B5 R2 SW U22 P9",B5 R2 U20 iSCSI B0,B5 R2 SW U22 P9,,,,,,,
2U20,2U22,66,TSS,iSCSI B1,1M,470-ACEX,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPB,B1,B5,2,U22,10,"B5 R2 U20 iSCSI B1
B5 R2 SW U22 P10",B5 R2 U20 iSCSI B1,B5 R2 SW U22 P10,,,,,,,
2U28,2U22,67,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U28,,25Gb1,B5,2,U22,11,"B5 R2 U28 OCP - port 1
B5 R2 SW U22 P11",B5 R2 U28 OCP - port 1,B5 R2 SW U22 P11,,,,,,,
2U29,2U22,68,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U29,,25Gb1,B5,2,U22,12,"B5 R2 U29 OCP - port 1
B5 R2 SW U22 P12",B5 R2 U29 OCP - port 1,B5 R2 SW U22 P12,,,,,,,
2U30,2U22,69,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U30,,25Gb1,B5,2,U22,13,"B5 R2 U30 OCP - port 1
B5 R2 SW U22 P13",B5 R2 U30 OCP - port 1,B5 R2 SW U22 P13,,,,,,,
2U31,2U22,70,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U31,,25Gb1,B5,2,U22,14,"B5 R2 U31 OCP - port 1
B5 R2 SW U22 P14",B5 R2 U31 OCP - port 1,B5 R2 SW U22 P14,,,,,,,
2U32,2U22,71,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U32,,25Gb1,B5,2,U22,15,"B5 R2 U32 OCP - port 1
B5 R2 SW U22 P15",B5 R2 U32 OCP - port 1,B5 R2 SW U22 P15,,,,,,,
2U33,2U22,72,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U33,,25Gb1,B5,2,U22,16,"B5 R2 U33 OCP - port 1
B5 R2 SW U22 P16",B5 R2 U33 OCP - port 1,B5 R2 SW U22 P16,,,,,,,
2U34,2U22,73,TSS,OCP - port 1,2M,470-ACFB,SFP28 TwinAx,Black,N/A,N/A,B5,2,U34,,25Gb1,B5,2,U22,17,"B5 R2 U34 OCP - port 1
B5 R2 SW U22 P17",B5 R2 U34 OCP - port 1,B5 R2 SW U22 P17,,,,,,,
2U36,2U22,74,TSS,LAN1,6FT,6FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,U36,,LAN1,B5,2,U22,18,"B5 R2 U36 LAN1
B5 R2 SW U22 P18",B5 R2 U36 LAN1,B5 R2 SW U22 P18,,,,,,,
2PDU L3,2U22,75,TSS,MGMT IN,3FT,3FT-CAT6,CAT6,Blue,N/A,407-BBOS,B5,2,PDU L3,,MGMT IN,B5,2,U22,19,"B5 R2 PDU L3 MGMT IN
B5 R2 SW U22 P19",B5 R2 PDU L3 MGMT IN,B5 R2 SW U22 P19,,,,,,,
2U39,2U22,76,TSS,ISL,3M,470-ACEU,SFP28 TwinAx,Black,N/A,N/A,B5,2,U39,,ISL P65,B5,2,U22,20,"B5 R2 U39 ISL
B5 R2 SW U22 P20",B5 R2 U39 ISL,B5 R2 SW U22 P20,,,,,,,
,2U22,77,,open,,,,,,,,,,,,B5,2,U22,21,,,,,,,,,,
,2U22,78,,open,,,,,,,,,,,,B5,2,U22,22,,,,,,,,,,
